salary,rank,allegation_count
40000,Police Officer,1104
50000,Police Officer,236
60000,Police Officer,1245
70000,Police Officer,1819
70000,Police Officer as Detective,157
80000,Police Officer / Field Training Officer,131
80000,Sergeant of Police,362
80000,Police Officer,4454
80000,Police Officer as Detective,488
90000,Police Officer / Field Training Officer,121
90000,Police Officer as Detective,806
90000,Sergeant of Police,529
90000,Police Officer,4350
100000,Sergeant of Police,1077
100000,Lieutenant of Police,120
100000,Police Officer as Detective,632
110000,Sergeant of Police,404
120000,Lieutenant of Police,163
