salary,count,major_award_count
30000,52,0
40000,12,1
40000,1132,0
50000,17,1
50000,223,0
60000,2,2
60000,77,1
60000,1226,0
70000,2020,0
70000,8,2
70000,1,4
70000,150,1
80000,86,2
80000,3,4
80000,4936,0
80000,20,3
80000,676,1
90000,768,1
90000,2,4
90000,5349,0
90000,14,3
90000,65,2
100000,4,4
100000,1658,0
100000,250,1
100000,45,2
100000,1,5
100000,11,3
110000,1,3
110000,1,4
110000,451,0
110000,15,2
110000,79,1
120000,38,1
120000,2,5
120000,1,3
120000,13,2
120000,1,4
120000,186,0
130000,8,1
130000,2,2
130000,35,0
140000,3,1
140000,29,0
150000,1,2
150000,22,0
150000,3,1
150000,1,3
160000,15,1
160000,3,2
160000,36,0
160000,3,3
170000,27,0
170000,5,1
170000,3,2
180000,6,0
180000,3,1
180000,3,4
180000,1,2
190000,1,2
190000,1,1
190000,2,0
260000,1,2
